course_name,parent_platform,url,type,cost,cost_notes,language,hindi_available,primary_track,secondary_tracks,tier,est_hours,prerequisites,coverage_summary,quality_signal,last_verified_status
Cognitive Class MCP Server and LangGraph Agent,IBM Cognitive Class,https://cognitiveclass.ai/courses/build-an-mcp-server-and-langgraph-agent-for-your-writing,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Adept,3 h,See course page,"Teaches Cognitive Class MCP Server and LangGraph Agent through structured lessons or projects covering machine learning, deep learning, generative AI and responsible AI practice.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Cognitive Class Hyperparameter Tuning with Optuna,IBM Cognitive Class,https://cognitiveclass.ai/courses/optimize-models-with-optuna-adaptive-hyperparameter-tuning,Course/module,free,No fee for learning materials.,English,No,"7. AI, ML, deep learning, LLMs & prompting",,Adept,3 h,See course page,"Teaches Cognitive Class Hyperparameter Tuning with Optuna through structured lessons or projects covering machine learning, deep learning, generative AI and responsible AI practice.",Official course page found and checked in September 2026,active; discovered and checked September 2026
TryHackMe Learning Cyber Security,TryHackMe,https://tryhackme.com/room/beginnerpathintro,Course/module,free,No fee for learning materials.,English,No,10. Cybersecurity,,Newbie,2 h,See course page,"Teaches TryHackMe Learning Cyber Security through structured lessons or projects covering security principles, defensive practice, vulnerabilities and hands-on investigation.",Official course page found and checked in September 2026,active; discovered and checked September 2026
TryHackMe Introduction to DevSecOps,TryHackMe,https://tryhackme.com/room/introductiontodevsecops,Course/module,free,No fee for learning materials.,English,No,10. Cybersecurity,,Apprentice,2 h,See course page,"Teaches TryHackMe Introduction to DevSecOps through structured lessons or projects covering security principles, defensive practice, vulnerabilities and hands-on investigation.",Official course page found and checked in September 2026,active; discovered and checked September 2026
TryHackMe Become a Hacker,TryHackMe,https://tryhackme.com/room/becomeahacker,Course/module,free,No fee for learning materials.,English,No,10. Cybersecurity,,Newbie,1 h,See course page,"Teaches TryHackMe Become a Hacker through structured lessons or projects covering security principles, defensive practice, vulnerabilities and hands-on investigation.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Hack The Box: Cracking into HTB,HTB Academy,https://academy.hackthebox.com/path/preview/cracking-into-hack-the-box,Course/module,freemium,Free lessons/units available; paid plan or credits may unlock additional content.,English,No,10. Cybersecurity,,Newbie,10 h,See course page,"Teaches Hack The Box: Cracking into HTB through structured lessons or projects covering security principles, defensive practice, vulnerabilities and hands-on investigation.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Hack The Box: Basic Toolset,HTB Academy,https://academy.hackthebox.com/path/preview/basic-toolset,Course/module,freemium,Free lessons/units available; paid plan or credits may unlock additional content.,English,No,10. Cybersecurity,,Newbie; Apprentice,10 h,See course page,"Teaches Hack The Box: Basic Toolset through structured lessons or projects covering security principles, defensive practice, vulnerabilities and hands-on investigation.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Hack The Box: Network Foundations,HTB Academy,https://academy.hackthebox.com/course/preview/network-foundations,Course/module,freemium,Free lessons/units available; paid plan or credits may unlock additional content.,English,No,10. Cybersecurity,,Apprentice,10 h,See course page,"Teaches Hack The Box: Network Foundations through structured lessons or projects covering security principles, defensive practice, vulnerabilities and hands-on investigation.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Hack The Box: Linux Privilege Escalation,HTB Academy,https://academy.hackthebox.com/course/preview/linux-privilege-escalation,Course/module,freemium,Free lessons/units available; paid plan or credits may unlock additional content.,English,No,10. Cybersecurity,,Adept,20 h,See course page,"Teaches Hack The Box: Linux Privilege Escalation through structured lessons or projects covering security principles, defensive practice, vulnerabilities and hands-on investigation.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Hack The Box: Attacking Common Services,HTB Academy,https://academy.hackthebox.com/course/preview/attacking-common-services,Course/module,freemium,Free lessons/units available; paid plan or credits may unlock additional content.,English,No,10. Cybersecurity,,Adept,20 h,See course page,"Teaches Hack The Box: Attacking Common Services through structured lessons or projects covering security principles, defensive practice, vulnerabilities and hands-on investigation.",Official course page found and checked in September 2026,active; discovered and checked September 2026
Hack The Box: Stack-Based Buffer Overflows x86,HTB Academy,https://academy.hackthebox.com/course/preview/stack-based-buffer-overflows-on-linux-x86,Course/module,freemium,Free lessons/units available; paid plan or credits may unlock additional content.,English,No,10. Cybersecurity,,Master,20 h,See course page,"Teaches Hack The Box: Stack-Based Buffer Overflows x86 through structured lessons or projects covering security principles, defensive practice, vulnerabilities and hands-on investigation.",Official course page found and checked in September 2026,active; discovered and checked September 2026
